"p.geomean"	"stat.mean"	"p.val"	"q.val"	"set.size"	"exp1"
"GO:0008284"	0.00141366372779115	2.99724845124393	0.00141366372779115	0.28215064872914	370	0.00141366372779115
"GO:0006511"	0.00158610081659442	2.96962943432805	0.00158610081659442	0.298980003928048	223	0.00158610081659442
"GO:0098978"	0.00182689962127079	2.92000323010426	0.00182689962127079	0.326245811314305	295	0.00182689962127079
"GO:0031625"	0.00194459206302029	2.9055429611356	0.0019445920630203	0.329422708247446	216	0.00194459206302029
"GO:1900740"	0.00203886733663317	3.24440930227818	0.00203886733663318	0.329422708247446	16	0.00203886733663317
"GO:0010468"	0.00236735133323148	2.8413892764639	0.00236735133323148	0.365110139711564	222	0.00236735133323148
"GO:0003682"	0.00273645213922791	2.78790113435921	0.00273645213922791	0.401281402832842	338	0.00273645213922791
"GO:0019003"	0.00283841841084238	2.83709326246873	0.00283841841084238	0.401281402832842	59	0.00283841841084238
"GO:0010628"	0.00299589122998975	2.75748839093116	0.00299589122998975	0.406602357734208	356	0.00299589122998975
"GO:0003151"	0.00349225869944533	2.79302391002073	0.00349225869944533	0.455739760277616	43	0.00349225869944533
"GO:0048704"	0.00375072460438232	2.76417596500087	0.00375072460438232	0.471341058617378	44	0.00375072460438232
"GO:0000976"	0.00441756128175504	2.63454310863234	0.00441756128175504	0.535313765321245	188	0.00441756128175504
"GO:0030182"	0.00458025380551229	2.62652214786989	0.00458025380551229	0.535889695244938	150	0.00458025380551229
"GO:0010629"	0.00495513428525208	2.59299935898306	0.00495513428525209	0.560425687662011	205	0.00495513428525208
"GO:0051549"	0.00575280287811687	2.93180172553378	0.00575280287811687	0.598023060217225	11	0.00575280287811687
"GO:0008083"	0.00619882869011717	2.52690836041727	0.00619882869011717	0.598023060217225	108	0.00619882869011717
"GO:0001654"	0.00636960671151942	2.59357103868853	0.00636960671151942	0.598023060217225	33	0.00636960671151942
"GO:0030334"	0.0064956881188329	2.52369053270253	0.00649568811883291	0.598023060217225	74	0.0064956881188329
"GO:0003729"	0.00652865728793887	2.50038293952139	0.00652865728793888	0.598023060217225	147	0.00652865728793887
"GO:0021983"	0.00662859340280624	2.61704994486422	0.00662859340280625	0.598023060217225	25	0.00662859340280624
"GO:0003925"	0.00662859340280624	2.61704994486422	0.00662859340280625	0.598023060217225	25	0.00662859340280624
"GO:0043484"	0.00687470652003929	2.55959430717239	0.00687470652003928	0.598023060217225	34	0.00687470652003928
"GO:0010975"	0.00687470652003929	2.55959430717239	0.00687470652003928	0.598023060217225	34	0.00687470652003928
"GO:0003924"	0.00708428666921253	2.46523756375866	0.00708428666921254	0.598023060217225	203	0.00708428666921253
"GO:0003690"	0.00735565621754781	2.46607109510613	0.00735565621754782	0.598023060217225	100	0.00735565621754781
"GO:0001658"	0.00740258429977113	2.52679088089539	0.00740258429977113	0.598023060217225	35	0.00740258429977113
"GO:0030324"	0.00947982554526958	2.37613080369868	0.00947982554526959	0.740119143047877	82	0.00947982554526958
"GO:0090575"	0.00984022480094402	2.37432987603313	0.00984022480094403	0.740119143047877	60	0.00984022480094402
"GO:0001656"	0.0100672443940397	2.41732581556482	0.0100672443940397	0.740119143047877	30	0.0100672443940397
"GO:0038095"	0.0103622119795593	2.3407742309428	0.0103622119795593	0.740119143047877	84	0.0103622119795593
"GO:0000209"	0.0106671188850924	2.312241225273	0.0106671188850924	0.740119143047877	203	0.0106671188850924
"GO:0007223"	0.0108454162540684	2.38250087925334	0.0108454162540684	0.740119143047877	31	0.0108454162540684
"GO:0048856"	0.0108515194505483	2.34385339226242	0.0108515194505483	0.740119143047877	51	0.0108515194505483
"GO:0008543"	0.0109065597266118	2.33204896834399	0.0109065597266118	0.740119143047877	62	0.0109065597266118
"GO:0004842"	0.0119909041098555	2.26764059957489	0.0119909041098555	0.797747796955684	193	0.0119909041098555
"GO:0006417"	0.012317927235004	2.2653379423048	0.012317927235004	0.802021373563495	113	0.012317927235004
"GO:0006325"	0.0130186025070833	2.23343246500773	0.0130186025070833	0.802021373563495	239	0.0130186025070833
"GO:0021762"	0.0133771860010439	2.28511076552025	0.0133771860010439	0.802021373563495	34	0.0133771860010439
"GO:0003730"	0.0134673779950728	2.25220247360719	0.0134673779950728	0.802021373563495	55	0.0134673779950728
"GO:0060076"	0.0137112411043361	2.30515162375351	0.0137112411043361	0.802021373563495	25	0.0137112411043361
"GO:0048536"	0.0137112411043361	2.30515162375351	0.0137112411043361	0.802021373563495	25	0.0137112411043361
