"p.geomean"	"stat.mean"	"p.val"	"q.val"	"set.size"	"exp1"
"GO:0016032"	0.100603431532906	1.27919371216461	0.100603431532906	0.911119216798984	409	0.100603431532906
"GO:0034599"	0.101180024683082	1.28219768231105	0.101180024683082	0.911119216798984	68	0.101180024683082
"GO:0008202"	0.101180024683082	1.28219768231105	0.101180024683082	0.911119216798984	68	0.101180024683082
"GO:0045672"	0.101323697268973	1.30912654928738	0.101323697268972	0.911119216798984	18	0.101323697268973
"GO:0044306"	0.101323697268973	1.30912654928738	0.101323697268972	0.911119216798984	18	0.101323697268973
"GO:0005244"	0.103672300308429	1.2652221627044	0.103672300308429	0.911119216798984	107	0.103672300308429
"GO:0008198"	0.106030920240149	1.27906834872432	0.106030920240149	0.911119216798984	19	0.106030920240149
"GO:0043113"	0.106030920240149	1.27906834872432	0.106030920240149	0.911119216798984	19	0.106030920240149
"GO:0031369"	0.106030920240149	1.27906834872432	0.106030920240149	0.911119216798984	19	0.106030920240149
"GO:0048306"	0.107000413820268	1.25198876696802	0.107000413820268	0.911119216798984	52	0.107000413820268
"GO:0032438"	0.110818259500713	1.24995958074608	0.110818259500713	0.911119216798984	20	0.110818259500713
"GO:0051602"	0.110818259500713	1.24995958074608	0.110818259500713	0.911119216798984	20	0.110818259500713
"GO:0005743"	0.112167984665213	1.21638011810524	0.112167984665213	0.911119216798984	304	0.112167984665213
"GO:0001669"	0.113568155178762	1.21612782096922	0.113568155178762	0.911119216798984	54	0.113568155178762
"GO:0042277"	0.113568155178762	1.21612782096922	0.113568155178762	0.911119216798984	54	0.113568155178762
"GO:0004896"	0.115035511896928	1.21290419470552	0.115035511896928	0.911119216798984	37	0.115035511896928
"GO:0034765"	0.115431146941145	1.20178517376484	0.115431146941145	0.911119216798984	112	0.115431146941145
"GO:0032733"	0.115685217873041	1.22168055058752	0.115685217873041	0.911119216798984	21	0.115685217873041
"GO:0004693"	0.115685217873041	1.22168055058752	0.115685217873041	0.911119216798984	21	0.115685217873041
"GO:0045453"	0.115685217873041	1.22168055058752	0.115685217873041	0.911119216798984	21	0.115685217873041
